timestamp_ms,action,buy_venue,sell_venue,buy_price,sell_price,qty,fee,pnl_net,obi_delta,p_execute,expected_edge_at_signal,adverse_selection_cost,fill_time_mid_a,fill_time_mid_b,signal_time_mid_a,signal_time_mid_b,status,reason,buy_latency_ms,sell_latency_ms,buy_slippage,sell_slippage,regime_vol,regime_spread,split
1709326257390,BUY_A_SELL_B,binance,kraken,62461.12,62551.4,0.01,0.6250626,0.27773739999998837,-0.9930057885044596,0.8485084960383921,0.6916999999999826,-0.21110000000000584,62460.56,62551.45,62482.225000000006,62551.45,filled,,70.60745706621987,40.266936853323756,21.110000000000582,0.0,low,tight,train
1709326257394,BUY_A_SELL_B,binance,kraken,62476.09,62551.4,0.01,0.62513745,0.12796255000004952,-1.0298774138967903,0.8485084960383921,0.6916999999999826,-0.06140000000006696,62474.67999999999,62551.45,62482.225000000006,62551.45,filled,,35.303482093205744,25.641060970757415,6.140000000006694,0.0,low,tight,train
1709326257451,BUY_A_SELL_B,binance,kraken,62461.12,62551.4,0.01,0.6250626,0.27773739999998837,-1.2110062091677483,0.8485084960383921,0.7531000000000495,-0.14969999999993888,62460.56,62551.45,62474.67999999999,62551.45,filled,,43.75335283877974,42.733685363770434,14.969999999993888,0.0,low,tight,train
1709326257490,BUY_A_SELL_B,binance,kraken,62461.12,62551.4,0.01,0.6250626,0.27773739999998837,-1.1741345837754178,0.8485084960383921,0.7531000000000495,-0.14969999999993888,62460.56,62551.45,62474.67999999999,62551.45,filled,,45.06414325508073,30.558306338847977,14.969999999993888,0.0,low,tight,train
1709326257494,BUY_A_SELL_B,binance,kraken,62461.12,62551.4,0.01,0.6250626,0.27773739999998837,-1.21100610125696,0.8485084960383921,0.7531000000000495,-0.14969999999993888,62460.56,62551.45,62474.67999999999,62551.45,filled,,41.55522973159842,36.01799334659717,14.969999999993888,0.0,low,tight,train
1709326257514,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.199618948714253,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,85.21705480434456,45.21812089484616,16.07999999999447,0.0,low,tight,train
1709326257515,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.1899328316015758,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,49.75508300303916,74.97510342021243,16.07999999999447,0.0,low,tight,train
1709326257519,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.199283177959444,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,39.48352332228386,53.03963978765584,16.07999999999447,0.0,low,tight,train
1709326257522,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.1899328316015758,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,57.28646313963749,41.86827547230381,16.07999999999447,0.0,low,tight,train
1709326257525,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.3303714820648684,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,32.89895802125979,54.4169916995189,16.07999999999447,0.0,low,tight,train
